30	1	1086.861	1233.174	43	1	1877
30	2	1058.468	1224.467	46	1	1877
30	3	1073.611	1218.032	46	1	1877
30	4	1090.646	1225.225	46	1	1877
30	5	1083.832	1227.496	50	1	1877
30	6	1063.011	1214.246	50	1	1877
30	7	1047.49	1209.703	50	1	1877
30	8	1059.226	1216.896	53	1	1877
30	9	1051.654	1239.231	70	1	1884
30	10	1022.883	1229.389	72	1	1888
30	11	992.598	1219.925	72	1	1888
30	12	966.099	1209.703	75	1	1888
30	13	961.934	1211.975	80	1	1888
30	14	1045.597	1256.645	84	1	1884
30	15	1020.233	1244.531	87	1	1884
30	16	1024.776	1141.94	58	1	1862
30	17	999.034	1130.962	62	1	1862
30	18	993.734	1131.34	70	1	1862
18	19	1096.325	1163.14	101	1	1000
18	20	1096.325	1182.825	101	1	1000
18	21	1069.068	1153.676	105	1	1000
18	22	1070.204	1173.361	105	1	1000
28	23	1238.855	1063.767	74	1	1805
28	24	1219.169	1076.922	74	1	1805
28	25	1227.687	1087.427	74	1	1805
28	26	1218.318	1043.703	79	1	1805
28	27	1209.8	1044.838	78	1	1805
30	28	1088.28	1058.751	76	1	1902
30	29	1087.713	1064.145	81	1	1902
30	30	1062.159	1053.072	85	1	1902
2	31	927.485	942.815	73	1	23
2	32	916.128	935.244	75	1	23
2	33	897.578	933.73	78	1	23
2	34	887.736	927.673	78	1	23
2	35	868.807	923.887	78	1	23
2	36	856.315	918.209	78	1	23
2	37	883.193	852.528	56	1	72
2	38	1028.562	865.588	24	1	92
2	39	1057.333	866.818	34	1	92
2	40	1004.523	939.503	40	1	49
2	41	996.289	939.219	40	1	49
2	42	969.884	933.54	41	1	50
2	43	966.193	930.417	45	1	50
2	44	1003.387	930.133	51	1	49
31	45	928.053	707.159	23	1	2054
31	46	908.367	719.273	23	1	2054
24	47	1082.886	454.278	95	1	1328
19	48	1101.436	239.064	89	1	1098
19	49	1108.25	229.978	89	1	1098
19	50	1102.95	236.414	94	1	1098
19	51	1099.353	241.524	94	1	1098
19	52	1106.735	200.829	97	1	1081
23	53	1021.842	219.757	122	1	2163
23	54	1046.544	212.375	122	1	2163
23	55	1028.372	167.231	128	1	2163
23	56	1048.247	188.809	139	1	2157
23	57	1049.667	174.613	139	1	2158
23	58	1035.187	195.623	140	1	2164
23	59	1029.792	192.5	140	1	2164
23	60	1037.174	203.857	142	1	2164
23	61	1038.026	187.106	125	1	2162
34	62	1133.424	396.925	52	1	2278
34	63	1151.879	407.43	52	1	2278
35	64	1063.579	401.752	39	5	2299
36	65	955.12	461.092	176	1	2477
36	66	947.927	422.857	137	1	2403
36	67	948.306	427.399	133	2	2403
36	68	935.813	426.453	143	2	2403
36	69	928.242	415.475	143	2	2403
36	70	965.531	442.164	144	2	2405
36	71	969.695	447.653	139	2	2405
36	72	964.774	451.06	139	2	2405
36	73	948.306	447.463	174	1	2477
36	74	1216.898	244.458	171	3	2477
36	75	1210.084	244.458	171	3	2477
22	78	1155.57	233.385	169	1	1241
22	79	1217.75	311.464	174	3	1200
22	80	1212.071	312.6	174	3	1200
22	86	1199.579	305.502	168	4	1198
21	81	1165.508	337.585	153	1	1283
21	82	1159.545	328.499	153	1	1283
21	83	1166.927	326.512	153	1	1283
21	84	1174.877	339.856	153	1	1283
21	85	1168.631	351.781	163	1	1280
21	88	1084.022	325.66	148	1	1296
21	89	1086.577	335.881	148	1	1296
25	90	1287.879	627.092	99	1	1401
25	91	1285.608	612.707	119	1	1386
25	92	1278.036	617.628	119	1	1386
25	93	1283.336	604.378	121	1	1386
17	94	1326.871	599.836	115	1	905
17	95	1337.471	601.35	111	1	905
17	96	1339.364	592.643	111	1	905
